trial,sharpe_ratio,k,min_prob_threshold,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_gamma,xgb_min_child_weight,xgb_reg_alpha,xgb_reg_lambda,final_capital,max_drawdown,alpha,beta,annual_volatility,elapsed_sec,fold_sharpes
81,2.216557,11,0.51,200,6,0.012694300426474608,0.8,0.9,2.0673372498665654,8,0.9777610137787244,2.832315269699914,449.833,-0.079831,0.171994,0.006724,0.078315,22.5,"[1.7878, 3.381, 3.3498, 2.599, 2.0842, 1.1783, 2.777, 0.6561, 2.385]"
67,2.14196,12,0.51,200,8,0.010953009319204862,0.6,0.95,0.8741550409281493,8,0.6767373215541761,3.230457935720888,375.7694,-0.07495,0.149589,0.012904,0.071268,27.1,"[1.8394, 2.6072, 3.0548, 2.8805, 2.6386, 1.0599, 2.8786, -0.022, 2.3781]"
93,2.139485,12,0.51,450,7,0.011951412517506527,0.8,0.95,0.9950260270894753,8,0.7802459649576913,4.741550573876337,393.4191,-0.075925,0.15948,-0.006017,0.073873,41.0,"[1.6222, 2.3421, 3.5415, 2.0696, 2.7089, 2.3571, 2.2625, 0.472, 2.0888]"
49,2.110231,14,0.53,350,5,0.016744490286841156,0.9,1.0,3.0097617684149,10,0.9588113054190679,3.2209342092767796,333.2473,-0.062845,0.134757,0.016394,0.065704,21.3,"[1.1516, 3.9462, 4.2842, 2.8532, 1.5906, 0.9213, 1.7301, 0.0779, 2.3986]"
74,2.061363,13,0.51,450,5,0.011241941591161545,0.7,0.9,4.878627844214743,9,0.8667336299126013,3.8660328761092067,364.5288,-0.112191,0.144984,0.018142,0.072424,25.5,"[1.7202, 3.777, 4.348, 2.6413, 1.3046, 0.6401, 2.2189, -0.2868, 2.5267]"
48,2.032475,11,0.51,400,7,0.01022116314967796,0.65,0.95,0.9503265286236554,9,0.7370663986048864,2.5025097224662356,381.3268,-0.068666,0.154419,0.001079,0.076102,31.9,"[1.6708, 2.7045, 3.6744, 1.5596, 2.8272, 1.4222, 1.774, 0.6819, 2.3877]"
85,2.012742,14,0.5,300,6,0.01021317017750641,0.5,0.95,1.3572002401478482,7,0.9798660322519069,3.425510618783045,339.9489,-0.064518,0.139336,0.007917,0.070161,29.0,"[1.1034, 4.3293, 3.3078, 2.7105, 1.6922, 0.9717, 1.85, 0.4894, 1.6898]"
70,2.009015,15,0.52,500,5,0.013811484953779846,0.7,0.9,3.9094406002156536,9,0.98954062612873,3.6090847850164574,319.2464,-0.064473,0.129231,0.01942,0.066621,26.3,"[1.7118, 3.7582, 4.0604, 2.3891, 2.0882, 1.0004, 1.4805, -0.1307, 1.9847]"
46,1.964209,12,0.53,350,5,0.011172692355894596,0.75,0.9,1.6185404067391225,9,0.9203010965643462,2.6966423461464135,333.896,-0.083044,0.133248,0.025204,0.070885,21.6,"[0.7544, 2.9761, 4.4242, 2.4276, 1.7056, 2.738, 1.8893, 0.0962, 1.764]"
79,1.95009,13,0.5,350,5,0.012669834683128354,0.75,0.95,1.7364209595400426,10,0.7885229635174954,3.5310896158866525,343.8481,-0.07603,0.139147,0.015059,0.073188,22.1,"[1.7752, 2.9054, 2.9528, 2.6119, 1.8144, 0.764, 1.7757, 0.3535, 2.4898]"
73,1.946027,13,0.5,100,7,0.01586114230636075,0.6,0.8,1.8855089063909574,8,0.8167746511758304,3.539728023960939,329.7613,-0.087717,0.134468,0.014069,0.070815,17.1,"[2.2298, 3.5232, 2.5961, 2.6475, 0.5466, 1.8183, 2.5811, -0.0374, 1.5325]"
50,1.945832,15,0.52,500,4,0.026444923155981827,0.8,0.8500000000000001,3.71788219264958,9,0.8663536993760127,3.994028329048529,304.5779,-0.075371,0.124964,0.01477,0.066024,20.9,"[0.9554, 2.7475, 4.3305, 2.2673, 2.1104, 0.996, 1.6255, 0.6154, 2.2345]"
96,1.944824,12,0.53,400,4,0.011015608191793433,0.7,0.95,4.902142870560007,6,0.8522817859433889,2.5104264287264306,286.3891,-0.068614,0.113654,0.031971,0.062343,20.3,"[2.1893, 3.2662, 4.2683, 1.5059, 1.1962, 1.0647, 1.9205, 0.8526, 1.7503]"
72,1.94053,12,0.53,150,8,0.016213392987919104,0.65,0.9,1.9221135656707464,9,0.754893699804852,3.8052302514665146,326.9254,-0.065564,0.138468,-0.006994,0.0705,24.3,"[1.3312, 3.0678, 3.8699, 1.8982, 1.6799, 2.5383, 1.7427, 0.1296, 1.814]"
39,1.919023,13,0.51,200,5,0.03892192936338032,0.6,0.8500000000000001,2.923859912286458,10,0.9808106256969525,0.6119615560706461,314.0726,-0.087471,0.131917,0.000948,0.068859,18.1,"[1.0876, 2.4923, 2.6258, 2.3158, 3.1438, 1.9116, 1.2861, 0.3755, 2.0867]"
76,1.902669,9,0.51,300,5,0.010789763497314002,0.7,0.75,4.714864261513121,10,0.8734200577855243,4.932265690137178,401.8695,-0.082508,0.157731,0.015161,0.084792,24.0,"[1.3264, 2.8995, 2.9512, 2.7143, 2.1257, 0.4681, 2.2916, 0.1958, 2.1311]"
55,1.901716,15,0.54,500,4,0.058056950561306137,0.8,0.8500000000000001,4.908795047163165,10,0.9808904094268268,4.39741469216478,246.5888,-0.072623,0.095884,0.033431,0.054595,19.8,"[1.583, 2.5943, 4.2124, 2.1734, 0.8037, 0.9358, 1.9321, 1.0143, 2.1375]"
64,1.87889,13,0.55,450,4,0.0599405157589348,0.7,0.95,4.8052491872383625,9,0.7139206256404858,4.579744765058362,266.9636,-0.060431,0.105727,0.031256,0.060221,20.5,"[1.3973, 3.0678, 4.4367, 2.1112, 1.9514, 0.8041, 1.2247, 0.7395, 1.237]"
69,1.877538,13,0.54,150,8,0.018352061419218618,0.7,1.0,1.187527491792024,8,0.359104051106422,2.1948916208868874,273.1413,-0.115043,0.108854,0.02941,0.061697,23.7,"[0.7152, 3.9276, 4.8259, 2.0345, 1.493, 1.2013, 2.2128, -0.2956, 1.3858]"
82,1.854548,8,0.52,250,6,0.011589475942422127,0.8,1.0,2.6101905412188953,7,0.8717892461915524,2.412407885989341,453.3938,-0.125431,0.17279,0.013317,0.094876,26.5,"[1.0004, 1.9979, 3.9654, 2.2576, 2.175, 1.3164, 1.9711, 0.1239, 2.5842]"
88,1.847827,13,0.51,50,4,0.017342594416573175,0.95,0.8,2.734780459945701,10,0.8178907026299083,3.3346340545353508,303.1413,-0.085351,0.124128,0.016972,0.069356,14.5,"[2.2816, 4.8359, 2.9835, 1.8423, 0.2764, 0.4803, 1.5307, 0.4561, 2.1073]"
57,1.840349,12,0.54,450,5,0.0442121389437625,0.8,0.95,3.192379728979796,10,0.9796597902695449,4.98490025870261,309.3067,-0.101256,0.127451,0.013066,0.07094,25.1,"[0.7643, 2.0118, 2.2348, 2.2102, 3.3063, 1.9654, 1.2022, 0.5135, 2.5875]"
98,1.833415,13,0.5,400,5,0.018240712296018733,0.9,1.0,2.767147729495405,9,0.9615060568661701,3.5742424405762163,308.8911,-0.070111,0.128481,0.008143,0.071132,24.8,"[1.5052, 2.5923, 1.9639, 2.072, 2.0732, 1.5765, 2.0867, 0.3644, 2.2873]"
84,1.819796,13,0.52,350,5,0.010113722556804667,0.6,0.95,4.886971236695619,9,0.8608573845460387,4.476854506401468,301.2094,-0.070725,0.126691,0.003342,0.070054,25.1,"[0.803, 3.7697, 3.6465, 1.9313, 0.8229, 0.3476, 2.7051, 0.5722, 2.332]"
36,1.819288,12,0.5,100,6,0.042529154984845274,0.5,0.8500000000000001,0.7130170078176318,10,0.8760454094771021,0.8264926580376883,310.3307,-0.08587,0.130324,0.002855,0.072007,16.6,"[2.884, 2.3976, 2.1839, 2.1926, 1.4824, 2.1536, 1.2462, -0.5723, 2.442]"
97,1.817795,15,0.5,500,8,0.011976309840692038,0.8,0.8,1.189171744098926,9,0.9124958302153454,4.17125724008224,272.9188,-0.063831,0.117642,-0.00745,0.063743,38.8,"[0.9919, 2.8984, 3.1178, 1.6114, 2.4127, 1.0089, 1.8251, 0.3882, 2.2997]"
60,1.814732,11,0.5,400,7,0.011368336488086555,0.7,1.0,1.5745351352716348,8,0.4884146627289255,1.976665431308642,337.0046,-0.074682,0.139868,0.003806,0.077572,37.9,"[1.3432, 2.8487, 3.6015, 1.6873, 2.1212, 0.8686, 1.8365, 0.4107, 1.6686]"
77,1.802478,14,0.51,450,7,0.01435412505321204,0.75,1.0,3.669984188997983,7,0.999473514538669,3.974851687683044,281.5495,-0.064381,0.117269,0.009696,0.066337,37.1,"[0.5396, 2.5491, 3.6647, 2.2582, 2.5095, 1.7771, 1.594, -0.3448, 1.3771]"
25,1.797895,11,0.55,100,8,0.04026854948700576,0.7,0.75,0.3917596794975906,10,0.5221821573017202,1.6381842144919183,280.4596,-0.074268,0.114628,0.018933,0.066258,17.3,"[2.1009, 2.789, 3.11, 1.648, 2.4691, 1.3556, 1.4123, 0.1188, 1.3374]"
86,1.781273,15,0.5,350,7,0.01660966941556192,0.5,1.0,1.2384788241088014,7,0.9609367197952426,3.20001583549933,265.1624,-0.060196,0.109429,0.013211,0.063195,33.0,"[1.6067, 3.28, 2.8241, 1.8548, 2.0544, 1.7081, 1.1942, 0.0171, 1.3993]"
47,1.741824,10,0.54,450,6,0.010027830031681865,0.75,0.95,0.2593038928637872,9,0.8983161364047606,2.514542472151428,305.1647,-0.081626,0.124645,0.019443,0.074211,27.8,"[0.2346, 2.1755, 4.2291, 1.5713, 2.6254, 1.382, 1.9753, 0.0801, 2.3099]"
83,1.729435,9,0.5,300,5,0.01255271424061994,0.65,0.7,2.0934175132706296,8,0.9570216997121569,3.2605831032554686,364.5425,-0.088767,0.143605,0.028895,0.087003,28.4,"[1.4644, 1.8691, 3.3394, 2.3294, 1.5568, -0.2989, 2.5141, 0.8661, 2.1025]"
95,1.71047,14,0.53,250,5,0.010669565166466789,0.9,1.0,1.5240870558769348,6,0.9619954405274279,1.9834844180281346,228.1868,-0.087267,0.090809,0.017996,0.055589,19.3,"[1.1425, 2.9786, 4.5308, 1.8361, 1.2745, 1.4963, 1.3446, -0.1646, 1.4601]"
63,1.709988,14,0.51,500,5,0.042684422677084416,0.8,0.7,4.695879751547207,8,0.9497603106133444,3.8457475872342917,276.9257,-0.075074,0.115962,0.008042,0.068931,23.8,"[1.8031, 3.0329, 3.0727, 1.9227, 1.6473, 0.2418, 1.7314, 0.3164, 1.5391]"
91,1.703633,15,0.5,300,4,0.012444494515413306,0.65,1.0,1.6279153498300474,9,0.7539770441964753,4.46778855103406,271.0052,-0.090479,0.114112,0.005166,0.067702,19.3,"[1.2109, 4.2553, 3.6674, 1.0666, 1.6314, 0.4817, 1.8437, -0.3804, 1.7985]"
94,1.682403,10,0.55,350,7,0.010402425508560641,0.95,0.95,0.20864296076707334,5,0.7199406623770449,4.693169054121967,245.138,-0.070284,0.096388,0.030195,0.061554,30.2,"[1.8505, 2.4365, 2.7357, 2.1416, 2.4639, 0.5589, 1.1927, -0.0351, 2.0502]"
44,1.669374,14,0.54,350,6,0.02943868923783124,0.8,0.8,2.7458429224212018,10,0.8841300184344874,0.585951654623473,257.7233,-0.082282,0.106775,0.011457,0.065591,24.8,"[0.6424, 2.0723, 2.7513, 2.3349, 1.8234, 1.9731, 1.671, -0.0877, 2.0562]"
87,1.666295,14,0.5,300,6,0.016390901101221288,0.75,0.95,2.448486716860533,10,0.8532254893134852,2.672122096606622,269.7814,-0.08705,0.11403,0.003696,0.06896,24.9,"[0.7988, 2.9221, 2.7877, 1.5641, 1.8727, 1.0115, 1.94, 0.4505, 1.9568]"
32,1.662019,13,0.52,100,6,0.037577658428341695,0.55,0.7,0.7697592491154313,10,0.7878206063242394,1.038617469006414,276.1163,-0.093842,0.112278,0.022735,0.070804,16.1,"[1.1088, 2.3342, 3.3466, 2.3159, 1.7674, 0.2935, 2.9295, -0.3254, 1.5037]"
62,1.63477,15,0.51,500,4,0.01897919329830073,1.0,1.0,0.46259574846847684,8,0.7413747186500966,3.7614581261289226,250.0005,-0.121566,0.102384,0.015214,0.064839,25.1,"[1.3387, 2.5659, 3.1051, 0.954, 2.0839, 0.8013, 1.5555, 0.0991, 2.8093]"
52,1.59235,13,0.55,500,4,0.039484655584260106,0.75,0.8500000000000001,2.8129470379859307,6,0.5909502804693585,3.7037433007954785,248.9561,-0.083657,0.102375,0.01365,0.066328,25.9,"[0.4265, 1.7729, 2.7453, 2.8276, 2.6542, 0.9247, 1.153, -0.551, 1.9407]"
71,1.589342,14,0.54,200,7,0.017901188010477048,0.7,0.8500000000000001,0.4956560601853666,4,0.771544670568103,3.9447837640443018,222.5908,-0.088247,0.088432,0.016778,0.058147,22.9,"[0.3663, 3.4173, 3.041, 2.3748, 1.3868, 1.7343, 0.9451, -0.3493, 1.9001]"
3,1.578455,6,0.5700000000000001,250,7,0.019721610970574007,0.75,0.8,0.23225206359998862,7,0.17052412368729153,0.7927321684337578,302.6711,-0.088321,0.121779,0.030028,0.081669,22.4,"[1.9306, 2.1039, 2.7493, 2.0566, 2.2018, 1.1258, 1.2773, 0.3846, 1.0687]"
40,1.578184,10,0.53,100,6,0.045374698847045765,0.55,0.8,0.6328387986337478,10,0.8857842288171813,0.8391540610533293,286.7308,-0.13091,0.119005,0.014497,0.077588,16.2,"[2.6535, 1.4916, 2.9014, 0.0142, 2.0957, 1.2333, 2.061, 1.1177, 1.3223]"
34,1.576649,10,0.53,150,8,0.0157060570743692,0.65,0.5,0.8055255259390415,9,0.8865369499336583,0.9868972016659601,285.3764,-0.105546,0.120947,0.003988,0.077312,19.9,"[0.8548, 2.942, 4.283, 2.0943, 0.801, 1.5945, 0.7286, -0.2962, 1.2497]"
37,1.574487,13,0.55,150,7,0.04538862169226212,0.6,1.0,0.9721556471683599,10,0.8134283542052465,0.9320858666874126,245.2156,-0.06902,0.10236,0.006389,0.065975,19.0,"[0.8892, 1.7704, 2.52, 2.0721, 2.9298, 1.1067, 0.2077, 0.2231, 2.225]"
13,1.569527,7,0.56,300,7,0.020083317229257356,0.9,0.8500000000000001,0.3735862680623355,9,0.29972694102837555,1.7703232097653954,318.1964,-0.109836,0.130796,0.017478,0.085979,24.0,"[0.7773, 1.7617, 2.5872, 2.1848, 2.0782, 0.2914, 1.7513, 0.5133, 2.0209]"
41,1.568035,11,0.5,50,5,0.01572014264104937,0.5,0.9,4.889686630408451,10,0.7632702536577914,1.9329657340593087,283.4905,-0.116096,0.117127,0.016895,0.077256,14.4,"[1.5394, 3.6571, 3.0336, 0.6496, 0.0474, 1.5555, 2.7953, 0.0818, 1.5506]"
31,1.522773,6,0.51,250,8,0.018035858178695345,0.95,0.8500000000000001,2.6809115239433923,10,0.6719450082410576,2.0887672397298678,374.901,-0.100568,0.151524,0.014798,0.101813,23.8,"[1.7069, 1.1553, 2.3516, 1.2516, 2.1855, 0.8559, 1.9654, 0.8136, 1.6234]"
51,1.521412,12,0.53,350,3,0.015826922663438034,0.8500000000000001,1.0,4.30063375227733,10,0.9937352149249182,2.9834063068800694,211.1913,-0.085347,0.082037,0.018247,0.05677,18.3,"[0.6506, 2.8458, 4.2461, 1.0927, 0.6913, 1.5353, 0.8137, 0.1363, 1.741]"
35,1.490052,11,0.54,150,6,0.014084657565932555,0.55,0.55,1.6027645055070487,10,0.8670028794581529,1.103488979407044,174.524,-0.066949,0.056327,0.032565,0.042992,17.3,"[-0.0217, 2.779, 2.5318, 1.5759, 0.9648, 0.4756, 1.7698, 0.3359, 2.321]"
28,1.485159,11,0.52,50,8,0.08820529190504203,0.75,0.8,0.6936827098387461,10,0.48460715162093604,2.242150921802256,253.8096,-0.107272,0.101879,0.026918,0.072902,15.1,"[1.498, 2.605, 3.3874, 1.4492, 1.9127, -0.1334, 1.3552, -0.2141, 1.6146]"
66,1.452019,10,0.55,300,4,0.03255790674428165,0.75,1.0,4.635465161966153,8,0.36995006620397897,4.983612073059212,208.0457,-0.076423,0.07666,0.034111,0.058374,18.3,"[2.0119, 1.5625, 3.1684, 1.7672, 1.0162, 1.296, 1.4398, 0.2716, 1.2506]"
68,1.426268,8,0.52,200,7,0.015318656680368024,0.55,1.0,0.360152420859325,8,0.5703179563692492,4.084737161277459,292.1009,-0.120806,0.117718,0.032405,0.087931,24.3,"[1.7131, 0.8923, 2.5013, 2.0826, 0.9112, 0.5496, 1.8469, 0.2687, 1.9361]"
78,1.405655,12,0.56,500,5,0.017922456577941916,0.55,1.0,2.742979225824963,9,0.9814574453055694,2.0743640003264994,194.6447,-0.061812,0.071807,0.021904,0.054785,30.0,"[2.4258, 2.3584, 2.7951, 1.8734, 1.407, 0.3103, -0.1817, 0.3017, 1.533]"
20,1.373024,12,0.56,300,8,0.05091540281614479,0.8500000000000001,0.8500000000000001,1.4029059259775676,10,0.3471893254338145,1.9814189402777451,226.1711,-0.077369,0.093755,0.00492,0.069135,27.4,"[1.098, 1.2568, 2.0968, 1.3193, 2.4602, 0.5369, 1.8876, -0.1526, 2.1845]"
89,1.360955,7,0.5,400,8,0.021482519956442816,0.55,0.9,2.2339639188024867,10,0.671106747301103,2.3067842074220835,291.6621,-0.126603,0.125409,0.000937,0.092311,35.2,"[0.4285, 0.5286, 2.662, 1.8779, 2.0135, 2.1103, 1.0646, -0.6424, 2.382]"
17,1.357881,9,0.56,300,7,0.02786855663339376,0.55,0.9,0.12812552828918777,8,0.2570249484945673,0.6573800880586109,254.9797,-0.115744,0.104194,0.021796,0.080545,24.1,"[0.1339, 1.4271, 3.9059, 1.5789, 1.265, 0.8469, 1.5873, -0.1725, 1.6227]"
0,1.309885,5,0.5,100,3,0.1,1.0,1.0,0.0,1,0.0,1.0,360.7559,-0.112928,0.145031,0.030371,0.116227,113.0,"[1.7554, 2.1296, 2.6586, -0.0248, 1.8484, 0.6005, 1.1633, 0.313, 1.6334]"
80,1.308485,15,0.53,100,7,0.037202991737437324,0.5,0.75,2.142564519588176,7,0.8182853760535944,4.014716470213547,203.4646,-0.101877,0.083293,-0.003226,0.063071,18.9,"[1.943, 0.9349, 2.2915, 1.6378, 1.7952, 1.9418, 0.3603, -0.8736, 1.418]"
42,1.295151,10,0.5,300,5,0.040184919491519325,0.55,0.8,3.6734913972365026,8,0.7666010335893846,0.7865083826778353,241.3002,-0.09724,0.100945,0.008841,0.079562,20.0,"[1.4056, 1.3241, 1.8472, 0.7204, 1.7073, 1.3095, 1.634, 0.6794, 1.4265]"
21,1.290625,4,0.5,450,8,0.019084286049424342,1.0,0.9,0.05535045716014342,10,0.01564587239888726,1.4549071753882952,386.4747,-0.198849,0.163576,-0.01047,0.124815,35.2,"[1.0803, 0.9854, 1.3462, 1.8375, 2.7498, 0.9016, 0.994, 0.6088, 1.2847]"
